avg(acceleration_a (0)),avg(acceleration_a (1)),avg(acceleration_a (Magnitude)),avg(displacement_d (0)),avg(displacement_d (1)),avg(displacement_d (Magnitude)),avg(velocity_v (0)),avg(velocity_v (1)),avg(velocity_v (Magnitude)),Time
-4.756925620160e-03,1.821511570245e-03,5.093745749080e-03,4.250503750472e-08,6.445978515564e-09,4.299103223116e-08,3.128042517638e-07,1.247015639420e-05,1.247407900391e-05,5.174000000000e-01
-5.481982683709e-03,2.527956964363e-03,6.036778988679e-03,3.694555701054e-08,2.955820102586e-08,4.731449493236e-08,-3.793262698898e-06,1.186800186316e-05,1.245946668710e-05,5.204600000000e-01
-4.739185574084e-03,1.054987800963e-02,1.156545744550e-02,2.340450189839e-08,3.758959591422e-08,4.428033909204e-08,-3.121233321223e-06,7.242906337321e-06,7.886811120898e-06,5.235200000000e-01
-2.438359201828e-03,1.873985306803e-02,1.889782232451e-02,1.128649169382e-08,3.291723749214e-08,3.479841115436e-08,-2.661409065490e-07,1.884721719346e-06,1.903419801703e-06,5.265800000000e-01
3.810369656183e-04,2.082842967943e-02,2.083191474830e-02,4.045638839925e-09,2.502819272646e-08,2.535305947565e-08,1.505243349097e-06,-2.562874177427e-06,2.972218294359e-06,5.296400000000e-01
2.464643407407e-03,1.692088124145e-02,1.709943534486e-02,7.871462808631e-10,1.900304873116e-08,1.901934437215e-08,1.541362617930e-06,-5.017574854738e-06,5.248986201435e-06,5.327100000000e-01
3.149571331095e-03,1.096836472763e-02,1.141160919274e-02,-2.509868042740e-10,1.525225645353e-08,1.525432139757e-08,8.448734261621e-07,-5.162301960678e-06,5.230981995711e-06,5.357700000000e-01
2.445768190493e-03,6.501952275942e-03,6.946737755253e-03,-3.239501663009e-10,1.268028333576e-08,1.268442072723e-08,3.601087338826e-07,-3.777327574923e-06,3.794454098878e-06,5.388300000000e-01
1.095614307211e-03,4.700654989009e-03,4.826647701652e-03,-1.308774119796e-10,1.052402725127e-08,1.052484101935e-08,2.833302365165e-07,-2.152010198720e-06,2.170581470095e-06,5.418900000000e-01
2.678549806056e-04,4.816347554664e-03,4.823790009728e-03,-1.213801394461e-11,8.627782676505e-09,8.627791214695e-09,3.861524128478e-07,-1.189621765003e-06,1.250725241497e-06,5.449500000000e-01
4.738230630944e-04,5.313728914561e-03,5.334812393380e-03,-4.996470791420e-11,7.126188767092e-09,7.126363926735e-09,5.005162851900e-07,-1.015686827255e-06,1.132314568837e-06,5.480100000000e-01
9.607452416537e-04,4.840650815456e-03,4.935071603992e-03,-1.502357782808e-10,6.138325499266e-09,6.140163737557e-09,5.367720003954e-07,-1.233192486536e-06,1.344949028498e-06,5.510700000000e-01
9.220948030977e-04,2.996764889712e-03,3.135420008565e-03,-2.013184866875e-10,5.626215880375e-09,5.629816539255e-09,3.404142463164e-07,-1.373993515851e-06,1.415535248835e-06,5.541400000000e-01
6.436672165643e-04,4.407071092653e-04,7.800834838892e-04,-1.829500016711e-10,5.411929898720e-09,5.415021323298e-09,-8.725939198684e-08,-1.109428988260e-06,1.112855283261e-06,5.572000000000e-01
3.592972564851e-04,-1.972530099098e-03,2.004986162138e-03,-1.034848512958e-10,5.293280935657e-09,5.294292415256e-09,-4.627948085439e-07,-2.972285214768e-07,5.500216621139e-07,5.602600000000e-01
-5.089514575838e-04,-3.816943183990e-03,3.850725497356e-03,5.203154547766e-11,5.130849167241e-09,5.131112984402e-09,-6.408415546877e-07,9.429082267814e-07,1.140067463945e-06,5.633200000000e-01
-1.796418694397e-03,-4.767334935945e-03,5.094565979263e-03,2.454156761008e-10,4.848951414735e-09,4.855157945580e-09,-7.485546182604e-07,2.309940692436e-06,2.428200984081e-06,5.663800000000e-01
-2.598834334325e-03,-4.604347900932e-03,5.287150413037e-03,3.993485960170e-10,4.430631871508e-09,4.448592820428e-09,-7.578968098875e-07,3.568805358793e-06,3.648394066352e-06,5.694400000000e-01
-3.111873350231e-03,-3.688652672815e-03,4.825962524569e-03,5.079369032197e-10,3.925355841391e-09,3.958082664523e-09,-5.575078164411e-07,4.588663106440e-06,4.622406739978e-06,5.725100000000e-01
-3.796369061120e-03,-2.543514110116e-03,4.569669799514e-03,5.911104450726e-10,3.404649288017e-09,3.455582198801e-09,-3.180579040539e-07,5.244286850316e-06,5.253922858087e-06,5.755700000000e-01
-4.055092929198e-03,-1.324671309181e-03,4.265973832761e-03,6.181245911611e-10,2.916333979657e-09,2.981120911855e-09,-1.752915179877e-07,5.504318194774e-06,5.507108670219e-06,5.786300000000e-01
-3.782940744525e-03,-2.509664902936e-04,3.791256369047e-03,5.881589372164e-10,2.499112999057e-09,2.567391033225e-09,-1.986967304353e-08,5.468254001076e-06,5.468290100588e-06,5.816900000000e-01
-3.603256011766e-03,3.438144358392e-04,3.619621838344e-03,5.442927235669e-10,2.184465836047e-09,2.251254218826e-09,1.225182172341e-07,5.215984605996e-06,5.217423322248e-06,5.847500000000e-01
-3.369529559686e-03,4.701152307294e-04,3.402166630805e-03,4.908958323274e-10,1.973687545964e-09,2.033819374303e-09,1.511954843579e-07,4.803074820697e-06,4.805453964789e-06,5.878100000000e-01
-2.947804448511e-03,2.144382656783e-04,2.955593821290e-03,4.262561655995e-10,1.853352181173e-09,1.901738316954e-09,1.308890914858e-07,4.321658238088e-06,4.323639887999e-06,5.908700000000e-01
-2.645707284166e-03,-4.233306143746e-04,2.679361088498e-03,3.671329192520e-10,1.808844534202e-09,1.845726179397e-09,6.625456505586e-08,3.826413345502e-06,3.826986903299e-06,5.939400000000e-01
-2.227853136800e-03,-1.265441108557e-03,2.562161352916e-03,3.066127515209e-10,1.816907301898e-09,1.842596950797e-09,-4.897348286194e-08,3.349616803104e-06,3.349974795377e-06,5.970000000000e-01
-1.816273296022e-03,-2.253416942636e-03,2.894259249480e-03,2.556273487408e-10,1.861527987315e-09,1.878997548956e-09,-1.192948176689e-07,2.934803230225e-06,2.937226796429e-06,6.000600000000e-01
-1.807550374326e-03,-3.412494943336e-03,3.861652508192e-03,2.307349418594e-10,1.930782266058e-09,1.944520190771e-09,-2.290027473140e-07,2.556310275696e-06,2.566547191053e-06,6.031200000000e-01
-1.535876857018e-03,-4.459447349915e-03,4.716522912760e-03,1.944718121357e-10,2.000021875318e-09,2.009454350680e-09,-4.178869842261e-07,2.198288659769e-06,2.237655595317e-06,6.061800000000e-01
-1.014806963841e-03,-5.360302587837e-03,5.455518032876e-03,1.503050775587e-10,2.062087272036e-09,2.067557867107e-09,-4.849526818500e-07,1.913440903994e-06,1.973939005317e-06,6.092400000000e-01
-1.122431524809e-03,-6.355422104850e-03,6.453777394573e-03,1.426003278910e-10,2.125053403547e-09,2.129832580613e-09,-5.194560808066e-07,1.659001937675e-06,1.738425163502e-06,6.123000000000e-01
-1.109012128666e-03,-7.183290700771e-03,7.268395503363e-03,1.287520378845e-10,2.171783089889e-09,2.175596211797e-09,-6.886581097537e-07,1.371552840154e-06,1.534733587782e-06,6.153700000000e-01
-5.218782666914e-04,-7.699363648629e-03,7.717030356236e-03,8.522191384434e-11,2.193438265703e-09,2.195093209878e-09,-7.543168183527e-07,1.115767869879e-06,1.346822854686e-06,6.184300000000e-01
-5.116295949765e-04,-8.258154475196e-03,8.273988166456e-03,7.181405721464e-11,2.207770483006e-09,2.208938153151e-09,-7.135591473513e-07,8.819946923779e-07,1.134496052947e-06,6.214900000000e-01
-6.279749393975e-04,-8.707015772313e-03,8.729632076085e-03,6.460547697121e-11,2.206200181199e-09,2.207145918869e-09,-8.135038850718e-07,5.872159811078e-07,1.003300144272e-06,6.245500000000e-01
-6.351861210732e-05,-8.790064471775e-03,8.790293967328e-03,2.142785267668e-11,2.174828071103e-09,2.174933629269e-09,-8.621135154154e-07,2.893122496933e-07,9.093631239964e-07,6.276100000000e-01
8.776632717541e-05,-8.839564053605e-03,8.839999750338e-03,-1.879312168184e-12,2.130053948632e-09,2.130054777675e-09,-7.747298801314e-07,1.464342200239e-08,7.748682578196e-07,6.306700000000e-01
-3.681357945724e-05,-8.798706391245e-03,8.798783404481e-03,-1.116309952922e-11,2.068785684705e-09,2.068815802345e-09,-8.041977624630e-07,-3.104012319616e-07,8.620226017650e-07,6.337400000000e-01
4.762843633486e-04,-8.377382066396e-03,8.390910384525e-03,-5.240962873728e-11,1.975983946165e-09,1.976678862306e-09,-8.147577428074e-07,-6.343310557579e-07,1.032572548426e-06,6.368000000000e-01
6.765304735156e-04,-7.867456254349e-03,7.896490448021e-03,-7.772528356402e-11,1.866336558619e-09,1.867954327532e-09,-6.878479877346e-07,-9.086239103684e-07,1.139619350803e-06,6.398600000000e-01
5.248315381112e-04,-7.283107232592e-03,7.301992817364e-03,-8.394015782092e-11,1.741592997709e-09,1.743614670667e-09,-6.616521657003e-07,-1.191768029651e-06,1.363119446298e-06,6.429200000000e-01
9.513496975182e-04,-6.356011547756e-03,6.426814844242e-03,-1.168864887550e-10,1.590100233082e-09,1.594390542653e-09,-6.361028440307e-07,-1.435806064973e-06,1.570403096150e-06,6.459800000000e-01
1.110125931786e-03,-5.381640972047e-03,5.494946690955e-03,-1.337921168955e-10,1.429344006203e-09,1.435592079462e-09,-4.772440451853e-07,-1.584218895448e-06,1.654542652022e-06,6.490400000000e-01
8.415636091731e-04,-4.452525697547e-03,4.531359000962e-03,-1.261542561282e-10,1.267664136781e-09,1.273925924071e-09,-4.173890068214e-07,-1.696053205822e-06,1.746656823762e-06,6.521000000000e-01
1.118359344171e-03,-3.327594088956e-03,3.510499970595e-03,-1.425934062799e-10,1.097377221262e-09,1.106602749526e-09,-3.866542518393e-07,-1.741015312123e-06,1.783433718284e-06,6.551700000000e-01
1.202556600198e-03,-2.304412690268e-03,2.599319184661e-03,-1.459932194984e-10,9.382134975350e-10,9.495043902460e-10,-2.285388464973e-07,-1.670256936213e-06,1.685819752324e-06,6.582300000000e-01
7.902838557425e-04,-1.539845298302e-03,1.730801003972e-03,-1.214293108651e-10,8.025822599708e-10,8.117163060805e-10,-1.683879521406e-07,-1.561069182954e-06,1.570124675430e-06,6.612900000000e-01
9.085268370323e-04,-7.727017388490e-04,1.192681428894e-03,-1.215770598853e-10,6.809376924001e-10,6.917059508357e-10,-1.733531522666e-07,-1.417570267009e-06,1.428130518303e-06,6.643500000000e-01
9.742335963131e-04,-2.266092503928e-04,1.000241397138e-03,-1.178320170973e-10,5.868576519535e-10,5.985702029918e-10,-5.660709031949e-08,-1.204253762923e-06,1.205583463800e-06,6.674100000000e-01
5.142205444187e-04,-5.849082138686e-05,5.175364185145e-04,-8.716122475600e-11,5.286916479979e-10,5.358282726431e-10,-2.190118721406e-08,-1.011179199331e-06,1.011416351045e-06,6.704700000000e-01
5.661272429672e-04,7.124942040879e-05,5.705931432625e-04,-8.306419354754e-11,4.875180146562e-10,4.945437036946e-10,-7.590867557822e-08,-8.663686608124e-07,8.696877505553e-07,6.735400000000e-01
