avg(acceleration_a (0)),avg(acceleration_a (1)),avg(acceleration_a (Magnitude)),avg(displacement_d (0)),avg(displacement_d (1)),avg(displacement_d (Magnitude)),avg(velocity_v (0)),avg(velocity_v (1)),avg(velocity_v (Magnitude)),Time
-6.157284451461e-05,-2.061067782977e-05,6.493084954182e-05,1.327024765690e-08,2.262046955884e-09,1.346166146157e-08,3.143882977582e-08,-4.361138884280e-08,5.376200567753e-08,2.967200000000e-01
-1.947238152647e-04,-6.339183153375e-05,2.047825396279e-04,1.253805097643e-08,1.826297868315e-09,1.267036251223e-08,-5.193965720215e-07,-2.261759173490e-07,5.665053791593e-07,3.002500000000e-01
-4.427327425739e-05,-7.701674131352e-06,4.493816415804e-05,9.741218809126e-09,7.329265679761e-10,9.768752491558e-09,-9.534177268013e-07,-3.527302616776e-07,1.016574640291e-06,3.037800000000e-01
6.672632779615e-05,2.798459516937e-05,7.235703412906e-05,6.561709428672e-09,-4.053469757604e-10,6.574217580601e-09,-7.981935328288e-07,-2.768999543982e-07,8.448588643054e-07,3.073100000000e-01
3.751170886778e-05,1.532049606527e-05,4.051969770207e-05,4.082895940416e-09,-1.243569790009e-09,4.268079788720e-09,-6.246471436885e-07,-2.057305692746e-07,6.576542566214e-07,3.108500000000e-01
3.067855923624e-05,1.163169192461e-05,3.280960612139e-05,2.083404264718e-09,-1.887971500986e-09,2.811584912248e-09,-5.101432150766e-07,-1.608069723314e-07,5.348878221077e-07,3.143800000000e-01
2.375940622183e-05,8.281475847157e-06,2.516132401566e-05,4.542209023737e-10,-2.392745403842e-09,2.435476790232e-09,-4.165388816622e-07,-1.269968266649e-07,4.354685223059e-07,3.179100000000e-01
1.868953251694e-05,5.829420699563e-06,1.957755785062e-05,-8.842118388471e-10,-2.797109861389e-09,2.933539526346e-09,-3.441028580572e-07,-1.033233033589e-07,3.592805059283e-07,3.214400000000e-01
1.471791712738e-05,3.854097988433e-06,1.521417614834e-05,-1.994770330300e-09,-3.131188109409e-09,3.712606583945e-09,-2.869718615442e-07,-8.699540365939e-08,2.998683870901e-07,3.249700000000e-01
1.167835642105e-05,2.546426224929e-06,1.195275262089e-05,-2.925128492310e-09,-3.418743720566e-09,4.499353878440e-09,-2.415545314574e-07,-7.648964654013e-08,2.533757243610e-07,3.285100000000e-01
9.209919518667e-06,6.850441927184e-07,9.235361556880e-06,-3.713730225767e-09,-3.677963315840e-09,5.226777816441e-09,-2.062724251096e-07,-7.148062535045e-08,2.183066493745e-07,3.320400000000e-01
6.303306649893e-06,1.494095878643e-07,6.305077156351e-06,-4.390734570680e-09,-3.926327620585e-09,5.890212106056e-09,-1.790337062658e-07,-6.942386574487e-08,1.920227619690e-07,3.355700000000e-01
6.749239643596e-06,-8.404462044275e-07,6.801366450150e-06,-4.986800241132e-09,-4.181538877981e-09,6.507952368681e-09,-1.574856880041e-07,-7.513063011462e-08,1.744888349080e-07,3.391000000000e-01
-8.603655116228e-06,-4.044206088697e-06,9.506759923699e-06,-5.527346862342e-09,-4.433771387546e-09,7.085893878239e-09,-1.599680290081e-07,-7.170267886175e-08,1.753027223425e-07,3.426400000000e-01
9.621303654062e-06,-1.732049793621e-05,1.981335743285e-05,-6.142724611961e-09,-4.797285282075e-09,7.794036934478e-09,-1.720951974457e-07,-1.383792554975e-07,2.208292900317e-07,3.461700000000e-01
3.639360369525e-05,-7.049172693074e-06,3.707000439147e-05,-6.595810051478e-09,-5.285454078243e-09,8.452262126105e-09,-7.182832453516e-08,-1.377405381175e-07,1.553440183800e-07,3.497000000000e-01
8.342658905766e-05,-3.319679955195e-05,8.978877024600e-05,-6.489557556116e-09,-6.032256764114e-09,8.860162467040e-09,1.632076576339e-07,-2.902786964544e-07,3.330142055913e-07,3.532300000000e-01
-9.058361259683e-05,2.090008844982e-05,9.296345824195e-05,-5.706355064168e-09,-6.859838864988e-09,8.922997107024e-09,1.527798424812e-07,-1.624154214528e-07,2.229808274141e-07,3.567700000000e-01
7.307877101371e-05,-2.714789864125e-04,2.811429295508e-04,-5.765500568666e-09,-8.348993461923e-09,1.014626476269e-08,-3.306267377534e-08,-8.513048569342e-07,8.519466531638e-07,3.603000000000e-01
2.969406776838e-05,3.809832485830e-04,3.821386834141e-04,-4.717136525936e-09,-1.151309671583e-08,1.244197624947e-08,5.212838601327e-07,-4.898434560130e-07,7.153205395021e-07,3.638300000000e-01
-5.079244149474e-04,-6.512576920690e-04,8.259078597390e-04,-4.905474473345e-09,-1.200275302631e-08,1.296648603204e-08,-9.022160323997e-07,-6.050732400280e-07,1.086327480513e-06,3.673600000000e-01
9.553320213546e-04,-1.165929402529e-03,1.507332293393e-03,-8.136270953037e-09,-2.211583334701e-08,2.356499500645e-08,7.651005055223e-08,-5.191962778164e-06,5.192526483099e-06,3.708900000000e-01
1.078944604458e-03,1.596430751751e-03,1.926840056835e-03,5.858644104728e-10,-4.055818342068e-08,4.056241461616e-08,4.707007944973e-06,-3.499879890432e-06,5.865584629131e-06,3.744300000000e-01
-7.386663248493e-04,1.668733755794e-03,1.824911035418e-03,1.877907769975e-08,-3.993305734206e-08,4.412825430421e-08,4.497551549942e-06,3.576046318219e-06,5.745961818045e-06,3.779600000000e-01
-8.597580850838e-04,-2.992430827251e-04,9.103463008250e-04,2.835025968317e-08,-2.271372638408e-08,3.632699533892e-08,1.012346110555e-06,5.018438953297e-06,5.119528706388e-06,3.814900000000e-01
-9.606300998241e-05,-5.928267375461e-04,6.005594413849e-04,2.884620955832e-08,-8.819931368281e-09,3.016446577057e-08,-2.874706261762e-07,2.814022607559e-06,2.828667989844e-06,3.850200000000e-01
7.286232174815e-05,-1.484280044419e-04,1.653474839033e-04,2.807860436973e-08,-1.248570349577e-09,2.810635072843e-08,-9.404098668329e-08,1.732905907607e-06,1.735455730290e-06,3.885600000000e-01
3.364939374283e-05,-3.758290539633e-05,5.044557936320e-05,2.803978811320e-08,4.400880282034e-09,2.838304889700e-08,5.343506649437e-08,1.509302662103e-06,1.510248268386e-06,3.920900000000e-01
1.931554485488e-06,2.703798256561e-05,2.710688849626e-05,2.840871873465e-08,9.729566183549e-09,3.002864895836e-08,1.297517711891e-07,1.544825436314e-06,1.550264864728e-06,3.956200000000e-01
5.522122862383e-05,1.509289500350e-05,5.724665553823e-05,2.888960452709e-08,1.518695914656e-08,3.263821345985e-08,1.919010910985e-07,1.543366293537e-06,1.555250958781e-06,3.991500000000e-01
-8.498701377602e-05,1.713042026496e-04,1.912274100540e-04,2.983254519188e-08,2.144039716402e-08,3.673787396103e-08,2.205906506480e-07,2.078651990844e-06,2.090323978285e-06,4.026900000000e-01
1.214793281627e-04,-1.801215917795e-04,2.172579457604e-04,2.997308232138e-08,2.856653781709e-08,4.140570910756e-08,5.816136932769e-08,1.744948150475e-06,1.745917178084e-06,4.062200000000e-01
-5.541761272112e-05,7.822447868391e-04,7.842053419460e-04,3.174113713495e-08,3.609784003014e-08,4.806822070205e-08,7.091851058629e-07,3.169305079327e-06,3.247681973381e-06,4.097500000000e-01
-4.131054917659e-04,-8.713585157449e-04,9.643245357701e-04,3.108595172754e-08,4.949850482694e-08,5.845030688465e-08,-1.145415691172e-06,3.160887922308e-06,3.362021648201e-06,4.132800000000e-01
1.558947160644e-03,9.900495726067e-04,1.846757809216e-03,3.063869780954e-08,5.497906812080e-08,6.293987396632e-08,2.086396474604e-06,1.631439869250e-06,2.648517754560e-06,4.168200000000e-01
-2.003064181678e-03,4.083768559392e-03,4.548563703258e-03,4.190078650817e-08,8.092676024253e-08,9.113076556989e-08,1.668801650475e-06,1.445190206780e-05,1.454793361017e-05,4.203500000000e-01
-3.838703374854e-03,-3.483679060791e-03,5.183788517938e-03,2.448357784767e-08,1.406012231788e-07,1.427170261167e-07,-1.205172532743e-05,1.424008901505e-05,1.865540721947e-05,4.238800000000e-01
1.457003859800e-03,-5.764641140328e-03,5.945918576994e-03,-2.868783392074e-08,1.544262274400e-07,1.570683021377e-07,-1.466572305003e-05,-6.857370626744e-06,1.618971786328e-05,4.274100000000e-01
2.883772160697e-03,1.378596726753e-04,2.887065493569e-03,-6.304254366657e-08,1.099622549372e-07,1.267519618105e-07,-4.439787382550e-06,-1.464510490207e-05,1.530329407660e-05,4.309400000000e-01
5.840495426948e-04,1.941298422853e-03,2.027252681560e-03,-6.695959285301e-08,6.796750967160e-08,9.541053110637e-08,8.027259733068e-07,-8.517373220085e-06,8.555116338101e-06,4.344800000000e-01
-2.251942505229e-04,6.374777800596e-04,6.760845883011e-04,-6.400507457407e-08,4.654914468751e-08,7.914210284274e-08,5.443696070005e-07,-4.429852228884e-06,4.463174771256e-06,4.380100000000e-01
-7.358143871759e-05,1.301898550451e-04,1.495447307009e-04,-6.311242317238e-08,3.284471953451e-08,7.114740726120e-08,6.299273535707e-08,-3.550092162169e-06,3.550650988847e-06,4.415400000000e-01
6.650308612806e-06,5.650675948464e-05,5.689675273774e-05,-6.310243099229e-08,2.080659387847e-08,6.644419572814e-08,-1.299580203235e-08,-3.299620056919e-06,3.299645649292e-06,4.450700000000e-01
-5.494749080939e-05,5.307160220980e-05,7.639255007763e-05,-6.313875323794e-08,9.648475740362e-09,6.387170926594e-08,-6.241418797800e-08,-3.027860876566e-06,3.028504089266e-06,4.486100000000e-01
8.379943865141e-05,-1.245035786456e-04,1.500782696258e-04,-6.363090464649e-08,-1.488889897640e-09,6.364832141744e-08,-9.514483779997e-08,-3.371399481767e-06,3.372741763880e-06,4.521400000000e-01
-1.221197456700e-04,2.146398706103e-04,2.469483880047e-04,-6.333382072991e-08,-1.292767498884e-08,6.463975269805e-08,6.445933715182e-08,-2.900744660692e-06,2.901460768765e-06,4.556700000000e-01
5.481902446602e-05,-7.559425554330e-04,7.579276169648e-04,-6.467248343874e-08,-2.435074405078e-08,6.910491190907e-08,-5.886785651940e-07,-4.221667439093e-06,4.262513157683e-06,4.592000000000e-01
4.124755285322e-04,8.915558416498e-04,9.823481462383e-04,-6.359544907294e-08,-4.132263997832e-08,7.584155666630e-08,1.263739964284e-06,-4.134022064035e-06,4.322866771398e-06,4.627400000000e-01
